0:0:0:0:0:0:0:1 - - [07/May/2018:09:53:58 +0800] "GET /zhz233/img/sy_public_wpolic.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2018:09:53:58 +0800] "GET /zhz233/img/sy_public_bottom_1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2018:09:53:58 +0800] "GET /zhz233/img/sy_public_logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2018:09:53:58 +0800] "GET /zhz233/img/sy_public_bottom_2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2018:09:53:58 +0800] "POST /zhz233/info/showUserInfo HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [07/May/2018:09:53:59 +0800] "POST /zhz233/info/showRentTasteInfo HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [07/May/2018:09:53:59 +0800] "POST /zhz233/info/showGamesInfo HTTP/1.1" 200 2601
0:0:0:0:0:0:0:1 - - [07/May/2018:09:53:59 +0800] "GET /zhz233/bspg/taste HTTP/1.1" 200 11731
0:0:0:0:0:0:0:1 - - [07/May/2018:09:53:59 +0800] "GET /zhz233/js/zhz233-taste.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2018:09:54:00 +0800] "POST /zhz233/info/showUserInfo HTTP/1.1" 200 246
